Table,id,name,repository_id
branches,1,Logger,github-168152007
branches,2,master,github-168152007
branches,3,main,github-705311542
branches,4,master,github-174738528
branches,5,main,github-390373065
branches,6,main,github-659829229
Table,id,sha,date,message,branch_id,author_id
files,43,4,False,src/parse/tokens/Symbol.java,Symbol.java,86,76
files,44,4,False,src/parse/tokens/SymbolNode.java,SymbolNode.java,143,128
files,45,4,False,src/parse/tokens/SymbolRootNode.java,SymbolRootNode.java,93,83
files,46,4,False,src/parse/tokens/SymbolState.java,SymbolState.java,60,53
files,47,4,False,src/parse/tokens/Token.java,Token.java,250,219
files,48,4,False,src/parse/tokens/TokenAssembly.java,TokenAssembly.java,133,118
files,49,4,False,src/parse/tokens/TokenString.java,TokenString.java,115,103
files,50,4,False,src/parse/tokens/TokenStringSource.java,TokenStringSource.java,140,124
files,51,4,False,src/parse/tokens/TokenTester.java,TokenTester.java,39,33
files,52,4,False,src/parse/tokens/TokenType.java,TokenType.java,31,28
files,53,4,False,src/parse/tokens/Tokenizer.java,Tokenizer.java,216,187
files,54,4,False,src/parse/tokens/TokenizerState.java,TokenizerState.java,45,41
files,55,4,False,src/parse/tokens/WhitespaceState.java,WhitespaceState.java,76,68
files,56,4,False,src/parse/tokens/Word.java,Word.java,69,60
files,57,4,False,src/parse/tokens/WordState.java,WordState.java,105,95
files,58,4,True,src/utensil,utensil,0,0
files,59,4,False,src/utensil/FileString.java,FileString.java,62,53
files,60,4,False,src/utensil/LimitingLinearCalculator.java,LimitingLinearCalculator.java,69,64
files,61,4,False,src/utensil/LinearCalculator.java,LinearCalculator.java,86,79
files,62,4,False,src/utensil/PubliclyCloneable.java,PubliclyCloneable.java,32,28
files,63,4,False,src/utensil/SwingUtensil.java,SwingUtensil.java,146,127
files,64,1,True,.github,.github,0,0
files,65,1,True,.github/workflows,workflows,0,0
files,66,1,False,.github/workflows/main.yml,main.yml,21,20
files,67,1,True,Cobol2XML,Cobol2XML,0,0
files,68,1,False,Cobol2XML/.classpath,.classpath,7,6
files,69,1,False,Cobol2XML/.gitignore,.gitignore,7,4
files,70,1,False,Cobol2XML/.project,.project,18,17
files,71,1,True,Cobol2XML/.settings,.settings,0,0
files,72,1,False,Cobol2XML/.settings/org.eclipse.jdt.core.prefs,org.eclipse.jdt.core.prefs,12,11
files,73,1,False,Cobol2XML/Comment2XML.xml,Comment2XML.xml,12,11
files,74,1,False,Cobol2XML/Logging.html,Logging.html,41,41
